"","V1"
"10000.txt",6
"10001.txt",6
"10002.txt",10
"10003.txt",14
"10004.txt",14
"10005.txt",7
"10006.txt",3
"10007.txt",3
"10008.txt",15
"10009.txt",3
"1000.txt",14
"10010.txt",10
"10011.txt",6
"10012.txt",7
"10013.txt",7
"10014.txt",6
"10015.txt",1
"10016.txt",3
"10017.txt",6
"10018.txt",6
"10019.txt",6
"1001.txt",7
"10020.txt",6
"10021.txt",3
"10022.txt",3
"10023.txt",9
"10024.txt",7
"10025.txt",9
"10026.txt",2
"10027.txt",5
"10028.txt",14
"10029.txt",3
"1002.txt",15
"10030.txt",3
"10031.txt",9
"10032.txt",9
"10033.txt",14
"10034.txt",11
"10035.txt",11
"10036.txt",9
"10037.txt",9
"10039.txt",9
"1003.txt",3
"10040.txt",5
"10041.txt",1
"10042.txt",3
"10043.txt",9
"10044.txt",5
"10045.txt",10
"10046.txt",10
"10047.txt",7
"10048.txt",10
"10049.txt",3
"1004.txt",1
"10050.txt",5
"10051.txt",3
"10052.txt",3
"10053.txt",10
"10054.txt",7
"10055.txt",15
"10056.txt",3
"10057.txt",15
"10058.txt",3
"10059.txt",14
"1005.txt",2
"10060.txt",10
"10061.txt",13
"10062.txt",3
"10063.txt",11
"10064.txt",9
"10065.txt",9
"10066.txt",3
"10067.txt",6
"10068.txt",4
"10069.txt",8
"1006.txt",1
"10070.txt",1
"10071.txt",14
"10072.txt",11
"10073.txt",13
"10074.txt",9
"10075.txt",3
"10076.txt",8
"10077.txt",14
"10078.txt",9
"10079.txt",4
"1007.txt",1
"10080.txt",3
"10081.txt",14
"10082.txt",5
"10083.txt",8
"10084.txt",9
"10085.txt",1
"10086.txt",6
"10087.txt",6
"10088.txt",14
"10089.txt",14
"1008.txt",1
"10090.txt",12
"10091.txt",6
"10092.txt",14
"10093.txt",10
"10094.txt",14
"10095.txt",4
"10096.txt",14
"10097.txt",3
"10098.txt",4
"10099.txt",14
"1009.txt",1
"100.txt",1
"10100.txt",10
"10101.txt",6
"10102.txt",14
"10103.txt",12
"10104.txt",6
"10105.txt",4
"10106.txt",6
"10107.txt",14
"10108.txt",6
"10109.txt",8
"1010.txt",1
"10110.txt",6
"10111.txt",6
"10112.txt",14
"10113.txt",6
"10114.txt",3
"10115.txt",6
"10116.txt",1
"10117.txt",1
"10118.txt",1
"10119.txt",1
"1011.txt",6
"10120.txt",2
"10121.txt",3
"10122.txt",5
"10123.txt",1
"10124.txt",14
"10125.txt",8
"10126.txt",10
"10127.txt",6
"10128.txt",9
"10129.txt",4
"1012.txt",2
"10130.txt",4
"10131.txt",8
"10132.txt",8
"10133.txt",9
"10134.txt",1
"10135.txt",3
"10136.txt",5
"10137.txt",15
"10138.txt",9
"10139.txt",1
"1013.txt",6
"10140.txt",6
"10141.txt",8
"10142.txt",9
"10143.txt",11
"10144.txt",9
"10145.txt",8
"10146.txt",4
"10147.txt",8
"10148.txt",9
"10149.txt",8
"1014.txt",4
"10150.txt",8
"10151.txt",9
"10152.txt",5
"10153.txt",5
"10154.txt",5
"10155.txt",5
"10156.txt",7
"10157.txt",9
"10158.txt",7
"10159.txt",6
"1015.txt",1
"10160.txt",5
"10161.txt",1
"10162.txt",1
"10163.txt",8
"10164.txt",8
"10165.txt",8
"10166.txt",8
"10167.txt",13
"10168.txt",14
"10169.txt",8
"1016.txt",2
"10170.txt",9
"10171.txt",8
"10172.txt",5
"10173.txt",2
"10174.txt",5
"10175.txt",13
"10176.txt",1
"10177.txt",5
"10178.txt",7
"10179.txt",8
"1017.txt",1
"10180.txt",13
"10181.txt",1
"10182.txt",7
"10183.txt",5
"10184.txt",3
"10185.txt",5
"10186.txt",3
"10187.txt",5
"10188.txt",8
"10189.txt",5
"1018.txt",3
"10190.txt",4
"10191.txt",5
"10192.txt",2
"10193.txt",8
"10194.txt",5
"10195.txt",5
"10196.txt",8
"10197.txt",5
"10198.txt",3
"10199.txt",13
"1019.txt",1
"101.txt",8
"10200.txt",4
"10201.txt",15
"10202.txt",3
"10203.txt",5
"10204.txt",6
"10205.txt",10
"10206.txt",6
"10207.txt",5
"10208.txt",1
"10209.txt",5
"1020.txt",6
"10210.txt",4
"10211.txt",5
"10212.txt",13
"10213.txt",3
"10214.txt",5
"10215.txt",10
"10216.txt",11
"10217.txt",9
"10218.txt",5
"10219.txt",1
"1021.txt",7
"10220.txt",3
"10221.txt",1
"10222.txt",5
"10223.txt",2
"10224.txt",11
"10225.txt",1
"10226.txt",6
"10227.txt",6
"10228.txt",6
"10229.txt",6
"1022.txt",6
"10230.txt",6
"10231.txt",11
"10232.txt",2
"10233.txt",2
"10234.txt",11
"10235.txt",6
"10236.txt",5
"10237.txt",6
"10238.txt",6
"10239.txt",6
"1023.txt",11
"10240.txt",6
"10241.txt",7
"10242.txt",13
"10243.txt",14
"10244.txt",5
"10245.txt",11
"10246.txt",10
"10247.txt",6
"10248.txt",6
"10249.txt",9
"1024.txt",6
"10250.txt",6
"10251.txt",1
"10252.txt",6
"10253.txt",11
"10254.txt",6
"10255.txt",1
"10256.txt",6
"10257.txt",6
"10258.txt",6
"10259.txt",9
"1025.txt",2
"10260.txt",4
"10261.txt",2
"10262.txt",3
"10263.txt",5
"10264.txt",1
"10265.txt",10
"10266.txt",9
"10267.txt",5
"10268.txt",5
"10269.txt",12
"1026.txt",3
"10270.txt",6
"10271.txt",1
"10272.txt",8
"10273.txt",9
