user_name,tweet_body,date,favorite_count,retweet_count,retweeted,source
HillaryClinton,"""I support Hillary because Hillary supports me."" @OITNB’s @UzoAduba &amp Dascha Polanco are on Team Hillary.
https://t.co/wauAhWHLnJ",Sun Nov 01 23:33:54 +0000 2015,278,120,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,"An inside look at an issue that will shape our economy for years to come (yeah, it’s that important). https://t.co/88VTl6B8ec",Sun Nov 01 20:55:04 +0000 2015,225,149,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,"While Republicans swapped out-of-touch ideas at the #GOPdebate, Hillary was live-texting her reactions. https://t.co/OFyM5HEYbZ",Sun Nov 01 19:04:44 +0000 2015,509,220,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,"Top CEOs earn 300 times more than the typical American worker. That's wrong.
https://t.co/SUFDsLTG3m",Sun Nov 01 17:23:30 +0000 2015,746,436,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,"Thank you for the support, @BilldeBlasio. https://t.co/ylEKVsIpnx",Sun Nov 01 16:12:25 +0000 2015,979,419,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,“I can't stop asking myself once again: Where does my community go from here?” -@claynmiddleton https://t.co/eakToXxU9h,Sun Nov 01 14:50:04 +0000 2015,337,184,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
HillaryClinton,Happy Halloween! 🎃 https://t.co/kjfUE0YO8U,Sun Nov 01 01:18:53 +0000 2015,4073,980,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
MartinOMalley,Faced with an opportunity to lead—to bring 11 million neighbors out of the shadows to make the U.S. stronger—@SpeakerRyan chose politics.,Sun Nov 01 21:39:15 +0000 2015,43,35,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
MartinOMalley,"We need to expand—not cut or “enhance”—Social Security so our seniors can retire in dignity, not poverty. https://t.co/xtn4Ua2zqB",Sun Nov 01 20:17:55 +0000 2015,41,24,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
MartinOMalley,Addiction is a public health crisis. Let’s treat it like one. https://t.co/0N7YvCkWlR,Sun Nov 01 18:33:58 +0000 2015,95,53,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
MartinOMalley,"Within 35 years, our country can &amp should be 100% powered by clean energy, supported by millions of new jobs. https://t.co/suqJXgosx5",Sun Nov 01 16:40:32 +0000 2015,97,55,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
