"","V1"
"1000.txt",9
"1001.txt",2
"1002.txt",10
"1003.txt",3
"1004.txt",8
"1005.txt",8
"1006.txt",8
"1007.txt",8
"1008.txt",2
"1009.txt",3
"100.txt",5
"1010.txt",2
"1011.txt",4
"1012.txt",4
"1013.txt",8
"1014.txt",6
"1015.txt",8
"1016.txt",10
"1017.txt",4
"1018.txt",3
"1019.txt",2
"101.txt",7
"1020.txt",10
"1021.txt",2
"1022.txt",4
"1023.txt",5
"1024.txt",5
"1025.txt",9
"1026.txt",3
"1027.txt",3
"1028.txt",8
"1029.txt",2
"102.txt",2
"1030.txt",3
"1031.txt",8
"1032.txt",8
"1033.txt",1
"1034.txt",4
"1035.txt",6
"1036.txt",5
"1037.txt",1
"1038.txt",5
"1039.txt",1
"103.txt",1
"1040.txt",2
"1041.txt",4
"1042.txt",4
"1043.txt",4
"1044.txt",5
"1045.txt",5
"1046.txt",5
"1047.txt",4
"1048.txt",4
"1049.txt",4
"104.txt",8
"1050.txt",4
"1051.txt",4
"1052.txt",4
"1053.txt",4
"1054.txt",4
"1055.txt",5
"1056.txt",4
"1057.txt",9
"1058.txt",8
"1059.txt",8
"105.txt",7
"1060.txt",8
"1061.txt",8
"1062.txt",2
"1063.txt",8
"1064.txt",4
"1065.txt",9
"1066.txt",3
"1067.txt",3
"1068.txt",4
"1069.txt",3
"106.txt",8
"1070.txt",8
"1071.txt",5
"1072.txt",3
"1073.txt",1
"1074.txt",4
"1075.txt",3
"1076.txt",3
"1077.txt",9
"1078.txt",2
"1079.txt",3
"107.txt",8
"1080.txt",3
"1081.txt",2
"1082.txt",4
"1083.txt",4
"1084.txt",4
"1085.txt",4
"1086.txt",4
"1087.txt",4
"1088.txt",4
"1089.txt",4
"108.txt",2
"1090.txt",2
"1091.txt",8
"1092.txt",5
"1093.txt",2
"1094.txt",8
"1095.txt",9
"1096.txt",4
"1097.txt",2
"1098.txt",1
"1099.txt",8
"109.txt",7
"10.txt",2
"1100.txt",8
"1101.txt",9
"1103.txt",8
"1104.txt",6
"1105.txt",7
"1106.txt",4
"1107.txt",8
"1108.txt",2
"1109.txt",1
"110.txt",2
"1110.txt",9
"1111.txt",7
"1112.txt",1
"1113.txt",4
"1114.txt",8
"1115.txt",2
"1116.txt",7
"1117.txt",8
"1118.txt",4
