"","x"
"will",313
"gopdebate",292
"randpaul",272
"president",222
"trump",220
"great",213
"today",209
"new",194
"need",191
"people",184
"tedcruz",167
"now",162
"america",161
"watch",160
"iowa",156
"thank",155
"campaign",153
"foxnews",152
"hillary",152
"isis",152
"get",142
"realdonaldtrump",140
"live",139
"thanks",137
"cruz",136
"christmas",135
"tonight",134
"time",129
"just",128
"https",123
"can",118
"join",117
"debate",116
"support",113
"one",112
"security",108
"like",106
"make",106
"plan",106
"tune",106
"cnn",104
"country",104
"berniesanders",103
"festivus",103
"must",99
"demdebate",95
"american",94
"hillaryclinton",94
"fitn",90
"dont",89
"last",89
"americans",88
"candidate",86
"first",86
"johnkasich",84
"national",81
"poll",80
"back",78
"ted",78
"think",78
"marcorubio",77
"state",77
"day",75
"take",75
"cruzcrew",74
"gov",74
"want",74
"donald",72
"iacaucus",72
"night",72
"cant",71
"policy",71
"town",70
"best",69
"going",69
"win",69
"good",68
"morning",68
"says",68
"fight",67
"nhpolitics",67
"war",67
"next",66
"realbencarson",64
"gop",63
"help",63
"obama",63
"see",63
"stand",63
"stop",63
"talking",62
"defeat",61
"hall",60
"kasich",59
"right",59
"change",58
"hampshire",58
"read",58
"radical",57
"team",57
"world",57
"ill",56
"year",56
"keep",54
"lead",54
"potus",54
"way",54
"bernie",53
"foreign",53
"leadership",53
"looking",53
"vote",53
"needs",52
"ready",52
"work",51
"youre",51
"big",50
"httpst",50
"via",50
"hope",49
"check",48
"families",48
"family",48
"hes",48
"makeamericagreatagain",48
"martinomalley",48
"much",48
"republican",48
"every",47
"forward",47
"happy",47
"many",47
"nation",47
"put",47
"safe",47
"say",47
"everyone",46
"talk",46
"better",45
"grievances",45
"gun",45
"httpstco",45
"sanders",45
"care",44
"clinton",44
"political",44
"presidential",44
"rjcforum",44
"house",43
"interview",43
"joining",43
"lindseygrahamsc",43
"real",43
"video",43
"destroy",42
"got",42
"john",42
"leader",42
"years",42
"carlylive",41
"crowd",41
"health",41
"imwithhuck",41
"news",41
"republicans",41
"still",41
"know",40
"rand",40
"said",40
"sen",40
"top",40
"cnndebate",39
"look",39
"love",39
"paul",39
"rubio",39
"terrorism",39
"coming",38
"doesnt",38
"getting",38
"serious",38
"women",38
"bill",37
"govmikehuckabee",37
"graham",37
"system",37
"together",37
"isil",36
"miss",36
"show",36
"tomorrow",36
"heres",35
"standwithrand",35
"agree",34
"end",34
"merry",34
"proud",34
"questions",34
"voters",34
"bcdc",33
"event",33
"give",33
"jimwebbusa",33
"lets",33
"protect",33
"threat",33
"believe",32
"candidates",32
"come",32
"conservative",32
"full",32
"jebbush",32
"making",32
"marco",32
"senator",32
"stage",32
"teammarco",32
"working",32
"government",31
"let",31
"life",31
"strategy",31
"done",30
"listen",30
"middle",30
"party",30
"terrorists",30
"another",29
"ballot",29
"chip",29
"election",29
"ever",29
"hard",29
"immigration",29
"kasichus",29
"little",29
"lot",29
"message",29
"really",29
"rights",29
"came",28
"fighting",28
"islam",28
"obamas",28
"service",28
"sign",28
"thats",28
"trail",28
"yesterday",28
"always",27
"border",27
"defend",27
"elected",27
"failed",27
"foxbusiness",27
"free",27
"governorpataki",27
"ground",27
"httpstc",27
"job",27
"kids",27
"obamacare",27
"pay",27
"running",27
"story",27
"wall",27
"washington",27
"week",27
"well",27
"answers",26
"climate",26
"meet",26
"money",26
"reform",26
"shows",26
"statement",26
"strong",26
"talked",26
"tonights",26
"wants",26
"airingofgrievances",25
"college",25
"discuss",25
