"","V1"
"1000.txt",6
"1001.txt",1
"1002.txt",1
"1003.txt",9
"1004.txt",2
"1005.txt",1
"1006.txt",8
"1007.txt",1
"1008.txt",6
"1009.txt",2
"100.txt",1
"1010.txt",2
"1011.txt",9
"1012.txt",10
"1013.txt",1
"1014.txt",2
"1015.txt",8
"1016.txt",1
"1017.txt",6
"1019.txt",1
"101.txt",4
"1020.txt",10
"1021.txt",1
"1022.txt",1
"1023.txt",1
"1024.txt",10
"1025.txt",1
"1026.txt",8
"1027.txt",10
"1028.txt",1
"1029.txt",7
"102.txt",4
"1030.txt",10
"1031.txt",1
"1032.txt",1
"1033.txt",3
"1034.txt",3
"1035.txt",3
"1036.txt",8
"1037.txt",2
"1038.txt",3
"1039.txt",1
"103.txt",2
"1040.txt",1
"1041.txt",2
"1042.txt",3
"1043.txt",1
"1044.txt",1
"1045.txt",5
"1046.txt",6
"1047.txt",1
"1048.txt",6
"1049.txt",6
"104.txt",3
"1051.txt",3
"1052.txt",1
"1053.txt",1
"1054.txt",1
"1055.txt",6
"1056.txt",1
"1057.txt",6
"1058.txt",2
"1059.txt",4
"105.txt",4
"1060.txt",1
"1061.txt",9
"1062.txt",5
"1063.txt",4
"1064.txt",1
"1065.txt",4
"1066.txt",1
"1067.txt",1
"1068.txt",10
"1069.txt",9
"106.txt",3
"1070.txt",2
"1071.txt",9
"1072.txt",2
"1073.txt",4
"1075.txt",8
"1076.txt",3
"1077.txt",3
"1078.txt",3
"1079.txt",1
"107.txt",4
"1080.txt",1
"1081.txt",2
"1082.txt",3
"1083.txt",2
"1085.txt",3
"1086.txt",7
"1087.txt",7
"1088.txt",1
"1089.txt",5
"108.txt",4
"1091.txt",7
"1092.txt",1
"1093.txt",3
"1094.txt",6
"1095.txt",7
"1096.txt",7
"1097.txt",6
"1098.txt",5
"1099.txt",2
"109.txt",4
"10.txt",2
"1100.txt",1
"1101.txt",3
"1102.txt",3
"1103.txt",2
"1104.txt",3
"1105.txt",1
"1106.txt",6
"1107.txt",10
"1108.txt",7
"110.txt",2
"1110.txt",1
"1111.txt",3
"1112.txt",1
"1113.txt",2
"1114.txt",3
"1115.txt",2
"1116.txt",1
"1117.txt",1
"1118.txt",8
"1119.txt",1
"111.txt",4
"1120.txt",1
"1121.txt",1
"1122.txt",3
"1123.txt",5
"1124.txt",7
"1125.txt",3
"1126.txt",1
"1127.txt",1
"1128.txt",2
"1129.txt",6
"112.txt",2
"1130.txt",1
"1131.txt",1
"1132.txt",3
"1133.txt",1
"1134.txt",1
"1135.txt",5
"1136.txt",1
"1137.txt",10
"1138.txt",4
"1139.txt",6
"113.txt",9
"1140.txt",3
"1141.txt",2
"1142.txt",2
"1143.txt",1
"1145.txt",5
"1146.txt",7
"1148.txt",9
"1149.txt",3
"114.txt",1
"1150.txt",6
"1151.txt",3
"1152.txt",5
"1153.txt",7
"1154.txt",8
"1155.txt",2
"1156.txt",10
"1157.txt",8
"1158.txt",8
"1159.txt",5
"115.txt",3
"1160.txt",8
"1161.txt",5
"1162.txt",5
"1163.txt",7
"1164.txt",10
"1165.txt",2
"1166.txt",1
"1167.txt",8
"1168.txt",5
"1169.txt",4
"116.txt",2
"1170.txt",5
"1171.txt",3
"1172.txt",5
"1173.txt",9
"1174.txt",8
"1175.txt",1
"1176.txt",5
"1177.txt",5
"1178.txt",4
"1179.txt",6
"117.txt",9
"1180.txt",3
"1181.txt",8
"1182.txt",9
"1183.txt",7
"1184.txt",2
"1185.txt",1
"1186.txt",1
"1187.txt",1
"1188.txt",7
"1189.txt",2
"118.txt",2
"1190.txt",10
"1191.txt",5
"1192.txt",7
"1193.txt",3
"1194.txt",2
"1195.txt",10
"1196.txt",2
"1197.txt",4
"1199.txt",5
"119.txt",2
"11.txt",3
"1200.txt",3
"1201.txt",7
"1202.txt",5
"1203.txt",2
"1204.txt",7
"1205.txt",5
"1206.txt",4
"1207.txt",9
"1208.txt",5
"1209.txt",5
"120.txt",5
"1210.txt",3
"1211.txt",3
"1212.txt",5
"1213.txt",8
"1214.txt",5
"1215.txt",6
"1216.txt",5
"1217.txt",4
"1218.txt",2
"1219.txt",5
"121.txt",2
"1220.txt",3
"1221.txt",3
"1222.txt",3
"1224.txt",10
"1225.txt",1
"1226.txt",5
"1227.txt",8
"1228.txt",2
"1229.txt",7
"122.txt",1
"1230.txt",3
"1231.txt",6
"1232.txt",6
"1233.txt",2
"1234.txt",3
"1235.txt",5
"1236.txt",2
"1237.txt",4
"1238.txt",6
"1239.txt",4
"123.txt",8
"1240.txt",6
"1241.txt",3
"1242.txt",2
"1243.txt",4
"1244.txt",4
"1245.txt",6
"1246.txt",5
"1247.txt",1
"1248.txt",5
"1249.txt",6
"124.txt",4
"1250.txt",9
"1251.txt",5
"1252.txt",5
"1253.txt",4
"1254.txt",5
"1255.txt",6
"1256.txt",5
"1257.txt",6
"1258.txt",5
"1259.txt",6
"125.txt",6
"1260.txt",5
"1261.txt",6
"1262.txt",5
"1263.txt",6
"1264.txt",6
"1265.txt",6
"1266.txt",5
"1267.txt",5
"1268.txt",5
"1269.txt",7
"126.txt",10
"1270.txt",3
"1271.txt",6
"1272.txt",5
"1273.txt",5
"1274.txt",7
"1275.txt",8
"1276.txt",7
"1277.txt",5
"1278.txt",6
"1279.txt",6
"127.txt",5
"1280.txt",6
"1281.txt",10
"1282.txt",6
"1283.txt",1
"1284.txt",7
"1285.txt",2
"1286.txt",6
"1287.txt",6
"1288.txt",4
"1289.txt",6
"128.txt",1
"1290.txt",7
"1291.txt",5
"1292.txt",9
"1293.txt",8
"1294.txt",6
"1295.txt",5
"1296.txt",1
"1297.txt",8
"1299.txt",5
"129.txt",9
"12.txt",4
"1300.txt",5
"1301.txt",2
"1302.txt",7
"1303.txt",4
"1304.txt",5
"1305.txt",3
"1306.txt",5
"1307.txt",7
"1308.txt",6
"1309.txt",5
"130.txt",4
"1310.txt",1
"1311.txt",2
"1312.txt",2
"1313.txt",7
"1314.txt",5
"1315.txt",7
"1316.txt",5
"1317.txt",3
"1318.txt",2
"1319.txt",2
"131.txt",10
"1320.txt",3
"1321.txt",3
"1322.txt",1
"1323.txt",2
"1324.txt",9
"1325.txt",9
"1326.txt",9
"1327.txt",1
"1328.txt",6
"1329.txt",5
"132.txt",2
"1330.txt",3
"1331.txt",3
"1332.txt",9
"1333.txt",5
"1334.txt",9
"1335.txt",5
"1336.txt",2
"1337.txt",9
"1338.txt",1
"1339.txt",1
"133.txt",4
"1340.txt",3
"1341.txt",1
"1342.txt",6
"1343.txt",2
"1344.txt",5
"1345.txt",3
"1346.txt",5
"1347.txt",5
"1348.txt",6
"1349.txt",1
"134.txt",3
"1350.txt",7
"1351.txt",7
"1352.txt",7
"1353.txt",7
"1354.txt",2
"1355.txt",10
"1356.txt",6
"1357.txt",9
"1358.txt",5
"1359.txt",1
"135.txt",4
"1360.txt",2
"1361.txt",1
"1362.txt",8
"1363.txt",4
"1364.txt",10
"1365.txt",10
"1366.txt",7
"1367.txt",10
"1368.txt",6
"1369.txt",2
"136.txt",3
"1370.txt",2
"1371.txt",6
"1372.txt",7
"1373.txt",2
"1374.txt",7
"1375.txt",7
"1376.txt",10
"1377.txt",1
"1378.txt",10
"1379.txt",6
"137.txt",8
"1380.txt",10
"1381.txt",10
"1382.txt",5
"1383.txt",5
"1384.txt",6
"1385.txt",2
"1386.txt",7
"1387.txt",1
"1388.txt",2
"1389.txt",6
"138.txt",7
"1390.txt",2
"1391.txt",6
"1392.txt",8
"1393.txt",8
"1394.txt",8
"1395.txt",4
"1396.txt",5
"1397.txt",8
"1398.txt",4
"1399.txt",8
"139.txt",6
"13.txt",2
"1400.txt",2
"1401.txt",5
"1402.txt",5
"1403.txt",7
"1404.txt",8
"1405.txt",7
"1406.txt",8
"1407.txt",8
