"","V1"
"1000.txt",10
"1001.txt",8
"1002.txt",3
"1003.txt",10
"1004.txt",8
"1005.txt",10
"1006.txt",3
"1007.txt",4
"1008.txt",7
"1009.txt",6
"100.txt",1
"1010.txt",3
"1011.txt",3
"1012.txt",6
"1013.txt",3
"1014.txt",2
"1015.txt",2
"1016.txt",2
"1017.txt",8
"1018.txt",10
"1019.txt",8
"101.txt",9
"1020.txt",10
"1021.txt",5
"1022.txt",1
"1023.txt",5
"1024.txt",2
"1025.txt",10
"1026.txt",3
"1027.txt",10
"1028.txt",10
"1029.txt",10
"102.txt",5
"1030.txt",3
"1031.txt",10
"1032.txt",9
"1033.txt",9
"1034.txt",3
"1035.txt",10
"1036.txt",3
"1037.txt",6
"1038.txt",3
"1039.txt",8
"103.txt",1
"1040.txt",10
"1041.txt",10
"1042.txt",5
"1043.txt",6
"1044.txt",2
"1045.txt",9
"1046.txt",7
"1047.txt",3
"1048.txt",10
"1049.txt",1
"104.txt",1
"1050.txt",10
"1051.txt",10
"1052.txt",2
"1053.txt",10
"1054.txt",3
"1055.txt",10
"1056.txt",10
"1057.txt",10
"1058.txt",10
"1059.txt",10
"105.txt",1
"1060.txt",10
"1061.txt",1
"1062.txt",3
"1063.txt",10
"1064.txt",10
"1065.txt",4
"1066.txt",10
"1067.txt",3
"1068.txt",10
"1069.txt",1
"106.txt",2
"1070.txt",10
"1071.txt",10
"1072.txt",3
"1073.txt",10
"1074.txt",10
"1075.txt",1
"1076.txt",10
"1077.txt",6
"1078.txt",8
"1079.txt",10
"107.txt",5
"1080.txt",4
"1081.txt",10
"1082.txt",9
"1083.txt",10
"1084.txt",2
"1085.txt",2
"1086.txt",2
"1087.txt",3
"1088.txt",5
"1089.txt",10
"108.txt",10
"1090.txt",10
"1091.txt",3
"1092.txt",1
"1093.txt",4
"1094.txt",10
"1095.txt",7
"1096.txt",7
"1097.txt",7
"1098.txt",8
"1099.txt",3
"109.txt",2
"10.txt",5
"1100.txt",10
"1101.txt",5
"1102.txt",10
"1103.txt",4
"1104.txt",5
"1105.txt",10
"1106.txt",4
"1107.txt",4
"1108.txt",4
"1109.txt",4
"110.txt",4
"1110.txt",8
"1111.txt",1
"1112.txt",2
"1113.txt",2
"1114.txt",8
"1115.txt",2
"1116.txt",3
"1117.txt",2
"1118.txt",1
"1119.txt",5
"111.txt",3
"1120.txt",5
"1121.txt",8
"1122.txt",5
"1123.txt",5
"1124.txt",2
"1125.txt",5
"1126.txt",5
"1127.txt",4
"1128.txt",2
"1129.txt",3
"112.txt",10
"1130.txt",1
"1131.txt",1
"1132.txt",10
"1133.txt",1
"1134.txt",6
"1135.txt",6
"1136.txt",10
"1138.txt",5
"1139.txt",10
"113.txt",2
"1140.txt",3
"1141.txt",2
"1142.txt",4
"1143.txt",2
"1144.txt",8
"1145.txt",1
"1146.txt",10
"1148.txt",8
"1149.txt",7
"114.txt",4
"1150.txt",8
"1151.txt",3
"1152.txt",10
"1153.txt",3
"1154.txt",4
"1155.txt",5
"1156.txt",2
"1159.txt",4
"115.txt",9
"1160.txt",4
"1161.txt",7
"1163.txt",3
"1164.txt",5
"1165.txt",6
"1166.txt",7
"1167.txt",5
"1168.txt",5
"1169.txt",5
"116.txt",4
"1170.txt",5
"1171.txt",4
"1172.txt",3
"1173.txt",10
"1174.txt",10
"1175.txt",5
"1176.txt",7
"1177.txt",6
"1178.txt",6
"1179.txt",2
"117.txt",3
"1180.txt",3
"1181.txt",5
"1182.txt",3
"1183.txt",6
"1184.txt",8
"1185.txt",3
"1186.txt",1
"1187.txt",6
"1188.txt",7
"1189.txt",7
"118.txt",1
"1190.txt",2
"1191.txt",2
"1192.txt",6
"1193.txt",2
"1194.txt",3
"1195.txt",2
"1196.txt",2
"1197.txt",5
"1198.txt",7
"1199.txt",6
"119.txt",2
"11.txt",5
"1200.txt",1
"1201.txt",8
"1202.txt",5
"1203.txt",8
"1204.txt",5
"1205.txt",2
"1206.txt",8
"1207.txt",7
"1208.txt",7
"1209.txt",7
"120.txt",2
"1210.txt",7
"1211.txt",3
"1212.txt",5
"1213.txt",5
"1214.txt",8
"1215.txt",2
"1216.txt",2
"1217.txt",5
"1218.txt",5
"1219.txt",2
"121.txt",1
"1220.txt",3
"1221.txt",6
"1222.txt",2
"1223.txt",9
"1224.txt",2
"1225.txt",5
"1226.txt",2
"1227.txt",1
"1228.txt",1
"1229.txt",10
"122.txt",1
"1230.txt",6
"1231.txt",6
"1232.txt",6
"1233.txt",3
"1234.txt",5
"1235.txt",3
"1236.txt",5
"1237.txt",7
"1238.txt",7
"1239.txt",10
"123.txt",2
"1240.txt",4
"1241.txt",3
"1242.txt",1
"1243.txt",6
"1244.txt",3
"1245.txt",3
"1246.txt",3
"1247.txt",5
"1248.txt",1
"1249.txt",5
"124.txt",1
"1250.txt",5
"1251.txt",5
"1252.txt",10
"1253.txt",5
"1254.txt",10
"1255.txt",10
"1256.txt",10
"1257.txt",10
"1258.txt",3
"1259.txt",6
"125.txt",5
"1261.txt",10
"1262.txt",10
"1263.txt",10
"1264.txt",10
"1265.txt",10
"1266.txt",10
"1267.txt",6
"1268.txt",2
"1269.txt",3
"126.txt",4
"1270.txt",6
"1271.txt",8
"1272.txt",4
"1273.txt",10
"1274.txt",4
"1275.txt",10
"1276.txt",2
"1277.txt",10
"1278.txt",3
"1279.txt",7
"127.txt",1
"1280.txt",3
"1281.txt",10
"1282.txt",5
"1283.txt",2
"1284.txt",3
"1285.txt",3
"1286.txt",6
"1287.txt",4
"1288.txt",10
"1289.txt",2
"128.txt",1
"1291.txt",6
"1292.txt",4
"1293.txt",1
"1294.txt",7
"1295.txt",5
"1296.txt",10
"1297.txt",10
"1298.txt",10
"1299.txt",10
"129.txt",10
"12.txt",1
"1300.txt",3
"1301.txt",8
"1303.txt",2
"1304.txt",3
"1305.txt",9
"1306.txt",4
"1307.txt",8
"1308.txt",9
"1309.txt",4
"130.txt",2
"1310.txt",2
"1311.txt",1
"1313.txt",5
"1314.txt",6
"1315.txt",10
"1316.txt",6
"1317.txt",5
"1318.txt",5
"1319.txt",1
"131.txt",4
"1320.txt",1
"1321.txt",3
"1322.txt",7
"1323.txt",1
"1324.txt",8
"1325.txt",4
"1326.txt",2
"1327.txt",6
"1328.txt",6
"1329.txt",1
"132.txt",2
"1330.txt",6
"1331.txt",8
"1332.txt",5
"1333.txt",3
"1334.txt",10
"1335.txt",3
"1336.txt",2
"1337.txt",1
"1338.txt",1
"1339.txt",8
"133.txt",4
"1340.txt",2
"1341.txt",7
"1342.txt",3
"1343.txt",3
"1344.txt",3
"1345.txt",9
"1346.txt",2
"1347.txt",5
"1348.txt",3
"1349.txt",3
"134.txt",1
"1350.txt",6
"1351.txt",8
"1352.txt",4
"1353.txt",5
"1354.txt",4
"1355.txt",6
"1356.txt",5
"1357.txt",5
"1358.txt",6
"1359.txt",5
"135.txt",10
"1360.txt",1
"1361.txt",3
"1362.txt",6
"1363.txt",7
"1364.txt",5
"1365.txt",3
"1366.txt",2
"1367.txt",5
"1368.txt",4
"1369.txt",8
"136.txt",5
"1370.txt",5
"1371.txt",6
"1372.txt",3
"1373.txt",5
"1374.txt",5
"1375.txt",6
"1376.txt",6
"1377.txt",5
"1378.txt",3
"1379.txt",5
"137.txt",5
"1380.txt",5
"1381.txt",5
"1382.txt",7
"1383.txt",5
"1384.txt",6
"1385.txt",1
"1386.txt",1
"1387.txt",3
"1388.txt",6
"1389.txt",1
"138.txt",9
"1390.txt",1
"1391.txt",1
"1392.txt",1
"1393.txt",1
"1394.txt",1
"1395.txt",1
"1396.txt",1
"1397.txt",2
"1398.txt",5
"1399.txt",3
"139.txt",4
"13.txt",2
"1400.txt",1
"1401.txt",1
"1402.txt",7
"1403.txt",8
"1404.txt",5
"1405.txt",7
"1406.txt",1
"1407.txt",5
"1408.txt",8
"1409.txt",1
"140.txt",2
"1410.txt",3
"1411.txt",1
"1412.txt",1
"1413.txt",1
"1414.txt",10
"1415.txt",5
"1416.txt",7
"1417.txt",9
"1418.txt",3
"1419.txt",6
"141.txt",3
"1420.txt",3
"1421.txt",7
"1422.txt",2
"1423.txt",3
"1424.txt",5
"1425.txt",10
"1426.txt",10
"1427.txt",1
"1428.txt",6
"1429.txt",1
"142.txt",4
"1430.txt",3
"1431.txt",6
"1432.txt",3
"1433.txt",6
"1434.txt",6
"1435.txt",3
"1436.txt",2
"1437.txt",6
"1438.txt",8
"1439.txt",3
"143.txt",3
"1440.txt",2
"1441.txt",2
"1442.txt",2
"1443.txt",1
"1444.txt",2
"1445.txt",6
"1446.txt",2
"1447.txt",1
"1448.txt",3
"1449.txt",10
"144.txt",3
"1450.txt",3
"1451.txt",9
"1452.txt",6
"1453.txt",1
"1454.txt",1
"1456.txt",6
"1457.txt",8
"1458.txt",6
"145.txt",4
"1460.txt",4
"1461.txt",7
"1462.txt",4
"1463.txt",8
"1464.txt",3
"1465.txt",3
"1466.txt",6
"1467.txt",6
"1468.txt",3
"1469.txt",6
"146.txt",4
"1470.txt",2
"1471.txt",2
"1472.txt",3
"1473.txt",10
"1474.txt",6
"1475.txt",6
"1476.txt",10
"1477.txt",3
"1478.txt",3
"1479.txt",4
"147.txt",4
"1480.txt",7
"1481.txt",2
"1482.txt",10
"1483.txt",5
"1484.txt",8
"1485.txt",1
"1486.txt",5
"1487.txt",3
"1488.txt",3
"1489.txt",1
"148.txt",9
"1490.txt",3
"1491.txt",3
"1492.txt",1
"1493.txt",3
"1494.txt",4
"1495.txt",1
"1496.txt",3
"1497.txt",5
"1498.txt",2
"1499.txt",5
"149.txt",7
"14.txt",9
"1500.txt",2
"1501.txt",8
"1502.txt",2
"1503.txt",8
"1504.txt",8
"1505.txt",7
"1506.txt",1
"1507.txt",2
"1508.txt",10
"1509.txt",10
"150.txt",5
"1510.txt",5
"1511.txt",1
"1512.txt",5
"1513.txt",6
"1514.txt",9
"1515.txt",2
"1516.txt",4
"1517.txt",1
"1518.txt",9
"1519.txt",2
"151.txt",8
"1520.txt",2
"1521.txt",3
"1522.txt",3
"1523.txt",8
"1524.txt",2
"1525.txt",2
"1526.txt",8
"1527.txt",3
"1528.txt",6
"1529.txt",3
"152.txt",1
"1530.txt",5
"1531.txt",8
"1532.txt",6
"1533.txt",6
"1534.txt",6
"1535.txt",5
"1536.txt",2
"1537.txt",4
"1538.txt",4
"1539.txt",4
"153.txt",2
"1540.txt",4
"1541.txt",7
"1542.txt",8
"1543.txt",1
"1544.txt",3
"1545.txt",5
"1546.txt",5
"1547.txt",2
"1548.txt",4
"1549.txt",9
"154.txt",4
"1550.txt",2
"1551.txt",6
"1552.txt",2
"1553.txt",3
"1554.txt",9
"1555.txt",3
"1556.txt",9
"1557.txt",1
"1558.txt",3
"1559.txt",3
"155.txt",3
"1560.txt",10
"1561.txt",3
"1562.txt",3
"1563.txt",5
"1564.txt",3
"1565.txt",3
"1566.txt",8
"1567.txt",1
"1568.txt",1
"1569.txt",2
"156.txt",6
"1570.txt",6
"1571.txt",7
"1572.txt",2
"1573.txt",6
"1574.txt",7
"1575.txt",8
"1576.txt",5
"1577.txt",3
"1578.txt",2
"1579.txt",6
"157.txt",7
"1581.txt",8
"1582.txt",3
"1583.txt",6
"1584.txt",5
"1585.txt",4
"1586.txt",1
"1587.txt",5
"1588.txt",8
"1589.txt",5
"158.txt",6
"1590.txt",5
"1591.txt",1
"1592.txt",3
"1593.txt",5
"1594.txt",1
"1595.txt",1
"1596.txt",6
"1597.txt",2
"1598.txt",3
"1599.txt",3
"159.txt",7
"15.txt",5
"1600.txt",1
"1601.txt",6
"1602.txt",1
"1603.txt",3
"1604.txt",2
"1605.txt",2
"1606.txt",4
"1607.txt",5
"1608.txt",5
"1609.txt",2
"160.txt",4
"1610.txt",4
"1611.txt",10
"1612.txt",3
"1613.txt",3
"1614.txt",5
"1615.txt",2
"1616.txt",3
"1617.txt",1
"1618.txt",3
"1619.txt",1
"161.txt",7
"1620.txt",3
"1621.txt",2
"1622.txt",3
"1623.txt",5
"1624.txt",3
"1626.txt",3
"1627.txt",3
"1628.txt",2
"1629.txt",2
"162.txt",1
"1630.txt",8
"1631.txt",7
"1632.txt",5
"1633.txt",7
"1634.txt",4
"1635.txt",1
"1636.txt",2
"1637.txt",2
"1638.txt",1
"1639.txt",1
"163.txt",1
"1640.txt",4
"1641.txt",2
"1642.txt",9
"1643.txt",4
"1644.txt",2
"1645.txt",9
"1646.txt",10
"1647.txt",8
"1648.txt",4
"1649.txt",2
"164.txt",4
"1650.txt",1
"1651.txt",5
"1652.txt",5
"1653.txt",1
"1654.txt",1
"1655.txt",5
"1656.txt",9
"1657.txt",8
"1658.txt",3
"1659.txt",2
"165.txt",2
"1660.txt",3
"1661.txt",2
"1662.txt",2
"1663.txt",3
"1664.txt",10
"1665.txt",1
"1666.txt",2
"1667.txt",1
"1668.txt",2
"1669.txt",5
"166.txt",4
"1670.txt",1
"1671.txt",6
"1672.txt",9
"1673.txt",3
"1674.txt",7
"1675.txt",6
"1676.txt",5
"1677.txt",6
"1678.txt",7
"1679.txt",5
"167.txt",9
"1680.txt",8
"1681.txt",9
"1682.txt",2
"1683.txt",6
"1684.txt",9
"1685.txt",3
"1686.txt",1
"1687.txt",5
"1688.txt",9
"1689.txt",2
"168.txt",5
"1690.txt",3
"1691.txt",5
"1692.txt",1
"1693.txt",1
"1694.txt",5
"1695.txt",1
"1696.txt",1
"1697.txt",1
"1698.txt",5
"1699.txt",7
"169.txt",8
"16.txt",4
"1700.txt",5
"1701.txt",5
"1702.txt",5
"1703.txt",5
"1704.txt",5
"1705.txt",6
"1706.txt",9
"1707.txt",9
"1708.txt",1
"1709.txt",4
"170.txt",7
"1710.txt",5
"1711.txt",5
"1712.txt",1
"1713.txt",5
"1714.txt",1
"1715.txt",9
"1716.txt",2
"1717.txt",2
"1718.txt",5
"1719.txt",1
"171.txt",6
"1720.txt",4
"1721.txt",10
"1722.txt",4
"1723.txt",3
"1724.txt",2
"1725.txt",1
"1726.txt",1
"1727.txt",1
"1728.txt",3
"1729.txt",2
"172.txt",3
"1730.txt",2
"1731.txt",2
"1732.txt",2
"1733.txt",2
"1734.txt",1
"1735.txt",5
"1736.txt",6
"1737.txt",4
"1738.txt",1
"1739.txt",5
"173.txt",5
"1740.txt",6
"1741.txt",9
"1742.txt",5
"1743.txt",1
"1744.txt",5
"1746.txt",8
"1747.txt",5
"1748.txt",3
"1749.txt",5
"174.txt",1
"1750.txt",8
"1751.txt",5
"1752.txt",2
"1753.txt",3
"1754.txt",1
"1755.txt",4
"1756.txt",2
"1757.txt",8
"1758.txt",4
"175.txt",4
"1760.txt",3
"1761.txt",3
"1762.txt",2
"1763.txt",1
"1764.txt",4
"1765.txt",8
"1766.txt",9
"1767.txt",7
"1768.txt",2
"1769.txt",5
"176.txt",3
"1770.txt",8
"1771.txt",4
"1772.txt",2
"1773.txt",4
"1774.txt",8
"1775.txt",1
"1776.txt",9
"1777.txt",6
"1778.txt",1
"1779.txt",2
"177.txt",8
"1780.txt",8
"1781.txt",3
"1782.txt",1
"1783.txt",1
"1784.txt",5
"1785.txt",2
"1786.txt",1
"1787.txt",9
"1788.txt",5
"1789.txt",6
"178.txt",1
"1790.txt",2
"1791.txt",5
"1792.txt",1
"1793.txt",4
"1794.txt",8
"1795.txt",5
"1796.txt",2
"1797.txt",1
"1798.txt",3
"1799.txt",7
"179.txt",6
"17.txt",4
"1800.txt",9
"1801.txt",8
"1802.txt",5
"1803.txt",5
"1804.txt",7
"1805.txt",1
"1806.txt",10
"1807.txt",3
"1808.txt",9
"1809.txt",1
"180.txt",10
"1810.txt",9
"1811.txt",1
"1812.txt",1
"1813.txt",2
"1814.txt",1
"1815.txt",8
"1816.txt",4
"1817.txt",1
"1818.txt",1
"1819.txt",5
"181.txt",2
"1820.txt",1
"1821.txt",1
"1822.txt",9
"1823.txt",5
"1824.txt",1
"1825.txt",4
"1826.txt",1
"1827.txt",1
"1828.txt",6
"1829.txt",2
"182.txt",6
"1830.txt",10
"1831.txt",2
"1832.txt",1
"1833.txt",9
"1834.txt",7
"1835.txt",1
"1836.txt",3
"1837.txt",2
"1838.txt",2
"1839.txt",3
"183.txt",9
"1840.txt",9
"1841.txt",4
"1842.txt",2
"1843.txt",4
"1844.txt",5
"1845.txt",9
"1846.txt",1
"1847.txt",7
"1848.txt",6
"1849.txt",3
"184.txt",1
"1850.txt",3
"1851.txt",1
"1852.txt",5
"1853.txt",3
"1854.txt",1
"1855.txt",8
"1856.txt",4
"1857.txt",8
"1858.txt",7
"1859.txt",8
"185.txt",2
"1860.txt",2
"1861.txt",3
"1862.txt",1
"1863.txt",1
"1864.txt",4
"1865.txt",1
"1866.txt",5
"1867.txt",10
"1868.txt",3
"1869.txt",6
"186.txt",3
"1870.txt",3
"1871.txt",1
"1872.txt",4
"1873.txt",8
"1874.txt",5
"1876.txt",1
"1877.txt",1
"1878.txt",7
"1879.txt",9
"187.txt",1
"1880.txt",5
"1881.txt",1
"1882.txt",1
"1883.txt",1
"1884.txt",1
"1885.txt",2
"1886.txt",2
"1887.txt",1
"1888.txt",6
"1889.txt",9
"188.txt",7
"1890.txt",1
"1891.txt",4
"1892.txt",1
"1893.txt",3
"1894.txt",1
"1895.txt",4
"1896.txt",1
"1897.txt",1
"1898.txt",1
"1899.txt",1
"189.txt",1
"18.txt",1
"1900.txt",1
"1901.txt",8
"1902.txt",9
"1903.txt",2
"1904.txt",1
"1905.txt",8
"1906.txt",7
"1907.txt",9
"1908.txt",2
"1909.txt",4
"190.txt",9
"1910.txt",4
"1911.txt",2
"1912.txt",9
"1913.txt",4
"1914.txt",3
"1915.txt",10
"1916.txt",1
"1917.txt",2
"1918.txt",6
"1919.txt",9
"191.txt",9
"1920.txt",7
"1921.txt",2
"1922.txt",9
"1923.txt",2
"1924.txt",4
"1925.txt",4
"1926.txt",3
"1927.txt",2
"1928.txt",9
"1929.txt",3
"1930.txt",1
"1931.txt",4
"1932.txt",2
"1933.txt",4
"1934.txt",2
"1935.txt",2
"1936.txt",2
"1937.txt",2
"1938.txt",1
"1939.txt",2
"193.txt",7
"1940.txt",9
"1941.txt",5
"1942.txt",6
