"","x"
"will",472
"iowa",412
"new",330
"today",323
"gopdebate",314
"president",304
"iacaucus",300
"tedcruz",257
"johnkasich",251
"great",245
"campaign",219
"randpaul",209
"people",203
"watch",198
"trump",195
"can",194
"need",193
"hillary",192
"one",188
"tonight",182
"just",172
"join",170
"now",169
"get",159
"cruz",155
"thank",155
"support",152
"time",146
"https",145
"america",144
"demdebate",144
"fitn",144
"make",140
"live",134
"hillaryclinton",133
"thanks",132
"hampshire",125
"berniesanders",124
"right",123
"country",119
"ill",115
"like",114
"day",112
"dont",112
"realdonaldtrump",112
"foxnews",110
"marcorubio",110
"must",110
"tune",108
"first",106
"nhpolitics",106
"plan",105
"back",104
"want",101
"debate",100
"last",100
"win",97
"american",96
"says",96
"see",95
"help",94
"potus",94
"town",94
"crowd",93
"ted",93
"caucus",92
"team",92
"days",91
"every",91
"candidate",87
"morning",87
"obama",86
"kasichus",85
"cruzintocaucus",84
"going",84
"take",84
"city",83
"next",82
"state",82
"clinton",81
"vote",81
"imwithhuck",79
"kasich",79
"night",79
"stop",79
"httpst",77
"sotu",77
"year",77
"americans",75
"fight",74
"hall",74
"proud",74
"tomorrow",74
"health",73
"cant",72
"keep",72
"big",71
"gun",71
"talking",71
"gov",70
"house",70
"leadership",70
"isis",69
"stand",69
"care",68
"cruzcrew",67
"know",67
"rights",65
"nation",64
"life",63
"read",63
"say",63
"talk",63
"tax",62
"years",62
"show",61
"voters",61
"best",60
"forward",60
"heres",60
"john",60
"political",60
"ready",60
"family",59
"gop",59
"govmikehuckabee",59
"rally",58
"video",58
"work",58
"better",57
"realbencarson",55
"republican",55
"good",54
"iran",54
"martinomalley",54
"poll",54
"event",53
"full",53
"httpstco",53
"joining",53
"national",53
"together",53
"via",53
"wall",53
"got",52
"trail",52
"families",51
"hes",51
"look",51
"looking",51
"teammarco",51
"states",50
"caucusforcruz",49
"des",49
"give",49
"lets",49
"moines",49
"conservative",48
"let",48
"made",48
"news",48
"protect",48
"another",47
"interview",47
"meet",47
"security",47
"thats",47
"think",47
"way",47
"come",46
"hope",46
"jebbush",46
"many",46
"miss",46
"record",46
"volunteers",46
"ive",45
"said",45
"week",45
"bernie",44
"fighting",44
"hear",44
"policy",44
"working",44
"economy",43
"iowacaucus",43
"notmeus",43
"power",43
"real",43
"world",43
"coming",42
"jeb",42
"packed",42
"put",42
"sanders",42
"well",42
"check",41
"done",41
"education",41
"kimnorvelldmr",41
"never",41
"street",41
"weve",41
"bus",40
"donald",40
"everyone",40
"lead",40
"senator",40
"sure",40
"believe",39
"change",39
"government",39
"leader",39
"love",39
"much",39
"standwithrand",39
"strong",39
"chip",38
"happy",38
"honor",38
"imwithher",38
"speaking",38
"system",38
"tour",38
"wont",38
"job",37
"momentum",37
"reform",37
"safe",37
"sioux",37
"women",37
"around",36
"away",36
"getting",36
"governor",36
"hard",36
"isnt",36
"justice",36
"obamas",36
"party",36
"pay",36
"presidential",36
"standing",36
"end",35
"foxbusiness",35
"iowans",35
"office",35
"person",35
"republicans",35
"won",35
"youre",35
"always",34
"amendment",34
"birthday",34
"cnn",34
"jonas",34
"million",34
"things",34
"united",34
"washington",34
"agree",33
"asked",33
"doesnt",33
"free",33
"money",33
"needs",33
"room",33
"run",33
"service",33
"act",32
"election",32
"endorsement",32
"excited",32
"feelthebern",32
"foreign",32
"line",32
"makeamericagreatagain",32
"message",32
"please",32
"special",32
"thing",32
"two",32
"wants",32
"future",31
"hillaryfornh",31
"httpstc",31
"issues",31
"meeting",31
"opportunity",31
"progress",31
"sign",31
"taking",31
"white",31
"yesterday",31
"build",30
"carson",30
"gets",30
"honored",30
"restore",30
"south",30
"still",30
"candidates",29
"commit",29
"defeat",29
"fox",29
"glennbeck",29
"jobs",29
"johnkasichs",29
"latest",29
"left",29
"liberty",29
"place",29
"plans",29
"questions",29
"radical",29
"revolution",29
"seanhannity",29
"start",29
"supporters",29
"voting",29
"war",29
"welcome",29
"carolina",28
"continue",28
"cut",28
"discuss",28
"donate",28
"ever",28
"everything",28
"home",28
"important",28
"listen",28
"millions",28
"paul",28
"sen",28
"storm",28
"thebriefing",28
"amazing",27
"ames",27
"est",27
"even",27
"find",27
"freedom",27
"human",27
"making",27
"man",27
"media",27
"story",27
"takes",27
"veterans",27
"whats",27
"address",26
"came",26
"enough",26
"httpstcoddobjcp",26
"morningjoe",26
"stage",26
"tell",26
"without",26
"yet",26
"across",25
"billclinton",25
"college",25
"criminal",25
"elect",25
"friend",25
"http",25
"learn",25
"makes",25
"military",25
"nothing",25
"really",25
"students",25
"true",25
"administration",24
"children",24
"clear",24
"cspan",24
"deal",24
"face",24
"failed",24
"faith",24
"follow",24
"friends",24
"glad",24
"joins",24
"lot",24
"matter",24
