"","V1"
"1000.txt",3
"1001.txt",1
"1002.txt",4
"1003.txt",2
"1004.txt",1
"1005.txt",1
"1006.txt",3
"1007.txt",3
"1008.txt",1
"1009.txt",4
"100.txt",1
"1010.txt",3
"1011.txt",2
"1012.txt",3
"1013.txt",4
"1014.txt",4
"1015.txt",1
"1016.txt",4
"1017.txt",1
"1018.txt",3
"1019.txt",3
"101.txt",2
"1020.txt",2
"1021.txt",2
"1022.txt",5
"1023.txt",2
"1024.txt",5
"1025.txt",1
"1026.txt",5
"1027.txt",2
"1028.txt",5
"1029.txt",5
"102.txt",2
"1030.txt",1
"1031.txt",3
"1032.txt",5
"1033.txt",5
"1034.txt",5
"1035.txt",5
"1036.txt",5
"1037.txt",2
"1038.txt",5
"1039.txt",5
"103.txt",5
"1040.txt",5
"1041.txt",3
"1042.txt",5
"1043.txt",3
"1044.txt",5
"1045.txt",5
"1046.txt",5
"1047.txt",3
"1048.txt",5
"1049.txt",2
"104.txt",1
"1050.txt",3
"1051.txt",5
"1052.txt",2
"1053.txt",1
"1054.txt",5
"1055.txt",1
"1056.txt",1
"1057.txt",5
"1058.txt",2
"1059.txt",4
"1060.txt",3
"1061.txt",5
"1062.txt",5
"1063.txt",3
"1064.txt",5
"1065.txt",1
"1066.txt",1
"1067.txt",5
"1068.txt",1
"1069.txt",2
"106.txt",1
"1070.txt",5
"1071.txt",5
"1072.txt",2
"1073.txt",1
"1074.txt",5
"1075.txt",4
"1076.txt",1
"1077.txt",5
"1078.txt",1
"1079.txt",5
"107.txt",3
"1080.txt",5
"1081.txt",5
"1082.txt",1
"1083.txt",5
"1084.txt",1
"1085.txt",1
"1086.txt",5
"1087.txt",1
"1088.txt",3
"1089.txt",5
"108.txt",1
"1090.txt",1
"1091.txt",1
"1092.txt",5
"1093.txt",5
"1094.txt",5
"1095.txt",1
"1096.txt",5
"1097.txt",2
"1098.txt",2
"1099.txt",5
"109.txt",1
"10.txt",2
"1100.txt",5
"1101.txt",2
"1102.txt",3
"1103.txt",5
"1104.txt",5
"1105.txt",5
"1106.txt",2
"1107.txt",3
"1108.txt",2
"1109.txt",4
"110.txt",5
"1110.txt",2
"1111.txt",2
"1112.txt",2
"1113.txt",5
"1114.txt",2
"1115.txt",3
"1116.txt",4
"1117.txt",5
"1118.txt",2
"1119.txt",4
"111.txt",3
"1120.txt",3
"1121.txt",2
"1122.txt",4
"1123.txt",2
"1124.txt",2
"1125.txt",3
"1126.txt",2
"1127.txt",5
"1128.txt",1
"1129.txt",1
"112.txt",4
"1130.txt",3
"1131.txt",2
"1132.txt",1
"1133.txt",5
"1134.txt",2
"1135.txt",2
"1136.txt",5
"1137.txt",1
"1138.txt",3
"1139.txt",2
"113.txt",5
"1140.txt",2
"1141.txt",2
"1142.txt",1
"1143.txt",4
"1144.txt",5
"1145.txt",2
"1146.txt",2
"1147.txt",2
"1148.txt",2
"1149.txt",2
"114.txt",1
"1150.txt",4
"1151.txt",3
"1152.txt",3
"1153.txt",2
"1154.txt",2
"1155.txt",4
"1156.txt",3
"1157.txt",5
"1158.txt",1
"1159.txt",5
"115.txt",2
"1160.txt",5
"1161.txt",3
"1162.txt",5
"1163.txt",4
"1164.txt",1
"1165.txt",4
"1166.txt",4
"1167.txt",4
"1168.txt",1
"1169.txt",4
"116.txt",5
"1170.txt",1
"1171.txt",2
"1172.txt",1
"1173.txt",4
"1174.txt",3
"1175.txt",4
"1176.txt",1
"1177.txt",2
"1178.txt",3
"1179.txt",4
