"","x"
"will",382
"today",280
"gopdebate",268
"great",255
"now",240
"president",240
"new",228
"people",226
"realdonaldtrump",225
"trump",215
"america",211
"live",207
"need",203
"randpaul",198
"watch",196
"thank",181
"isis",180
"join",174
"time",172
"tedcruz",165
"hillary",162
"plan",159
"fitn",158
"can",157
"get",157
"just",156
"tonight",155
"tune",153
"https",150
"must",144
"one",134
"thanks",134
"debate",131
"make",131
"country",130
"hillaryclinton",130
"support",130
"johnkasich",121
"demdebate",115
"american",114
"marcorubio",114
"foxnews",113
"campaign",111
"realbencarson",108
"dont",105
"lindseygrahamsc",103
"candidate",101
"right",99
"want",99
"berniesanders",97
"fight",97
"isil",92
"like",92
"back",91
"iowa",89
"martinomalley",89
"first",88
"cruz",87
"going",85
"read",85
"state",85
"day",84
"gop",84
"best",83
"see",83
"says",81
"vote",81
"americans",79
"family",79
"next",79
"talk",79
"obama",78
"cant",77
"interview",77
"good",76
"keep",76
"last",76
"take",75
"team",75
"cruzcrew",74
"families",74
"standwithrand",74
"via",74
"every",73
"leadership",73
"poll",73
"destroy",72
"presidential",72
"radical",72
"stand",71
"win",71
"ill",70
"national",70
"paris",70
"potus",70
"veterans",70
"way",70
"war",69
"hampshire",68
"show",68
"talking",68
"bernie",67
"defeat",67
"pff",66
"think",66
"big",65
"help",65
"lets",65
"nhpolitics",65
"refugees",65
"political",64
"security",64
"iacaucus",63
"nation",63
"immigration",61
"jimwebbusa",61
"night",61
"rand",61
"youre",61
"say",60
"care",59
"governor",59
"happy",59
"morning",59
"hall",58
"much",58
"carson",57
"foxbusiness",57
"httpst",57
"know",57
"town",57
"cnn",56
"gov",56
"government",56
"httpstco",56
"many",56
"republicans",56
"stop",56
"rally",55
"rubio",55
"work",55
"joining",54
"ready",54
"real",54
"sure",54
"world",54
"conservative",53
"imwithhuck",53
"needs",53
"primary",53
"sanders",53
"clinton",52
"economy",52
"john",52
"look",52
"donald",51
"policy",50
"republican",50
"job",49
"full",48
"house",48
"made",48
"governorpataki",47
"agree",46
"change",46
"hope",46
"kasich",46
"listen",46
"news",46
"proud",46
"said",46
"come",45
"lead",45
"makeamericagreatagain",45
"paul",45
"syrian",45
"terrorism",45
"together",45
"years",45
"ballot",44
"still",44
"ted",44
"thebriefing",44
"check",43
"end",43
"health",43
"heres",43
"islamic",43
"leader",43
"coming",42
"jobs",42
"marco",42
"forward",41
"kasichus",41
"man",41
"money",41
"run",41
"tax",41
"tomorrow",41
"women",41
"better",40
"democratic",40
"doesnt",40
"getting",40
"hear",40
"miss",40
"protect",40
"running",40
"act",39
"military",39
"part",39
"really",39
"thats",39
"well",39
"working",39
"wrong",39
"believe",38
"discuss",38
"everyone",38
"foreign",38
"free",38
"jeb",38
"looking",38
"party",38
"story",38
"ben",37
"crowd",37
"enough",37
