Count,Date
4,Sun Aug 02
165,Sat Nov 14
332,Fri Nov 13
288,Thu Oct 15
13,Tue Aug 18
366,Fri Oct 23
2,Tue Aug 11
305,Wed Nov 18
17,Mon Jul 06
85,Tue Sep 15
2,Wed Jul 15
779,Wed Nov 11
24,Wed Aug 19
7,Tue Jul 28
39,Wed Sep 02
3,Wed Jul 22
5,Tue Jul 21
17,Fri Aug 21
21,Sun Sep 06
8,Mon May 25
256,Thu Sep 24
16,Sat Aug 22
288,Wed Oct 07
410,Thu Oct 01
1,Tue Aug 04
101,Sun Nov 22
266,Wed Nov 04
4,Thu Jul 16
6,Tue Jul 14
34,Sat Sep 05
46,Mon Aug 31
7,Mon Jun 01
298,Mon Sep 28
6,Fri May 15
258,Fri Oct 02
194,Mon Sep 21
274,Sat Oct 24
434,Sun Nov 15
3,Thu May 28
2,Fri Jul 10
2,Sun Jun 21
2,Thu Jul 23
7,Tue Jul 07
42,Sat Sep 12
4,Wed Jun 10
176,Sat Sep 19
36,Mon Aug 24
32,Thu Sep 03
271,Wed Sep 23
128,Fri Sep 18
200,Mon Oct 26
62,Fri Sep 11
259,Mon Nov 09
398,Sat Oct 31
168,Sun Nov 08
230,Sun Nov 01
2,Wed Jun 03
217,Sat Sep 26
360,Wed Sep 30
30,Wed Aug 26
9,Mon Aug 17
40,Sun Sep 13
160,Wed Sep 16
447,Wed Oct 28
1,Tue Jun 09
38,Mon Sep 07
305,Wed Oct 21
34,Fri Sep 04
4,Tue Jun 02
283,Tue Oct 06
11,Mon Nov 23
133,Sat Oct 03
9,Fri Jun 26
1,Sun May 10
1,Thu May 07
4,Fri Jul 31
234,Fri Oct 09
6,Wed May 27
7,Wed May 20
350,Tue Oct 20
5,Thu Aug 13
55,Wed Sep 09
205,Mon Oct 19
1,Tue May 19
39,Sun Aug 23
236,Sat Nov 21
236,Mon Oct 12
3,Wed Jul 01
40,Tue Sep 08
45,Mon Sep 14
41,Sat Aug 29
215,Fri Nov 20
1,Wed Jul 08
16,Sun Aug 30
11,Thu May 14
128,Sat Oct 17
112,Sun Oct 04
297,Mon Nov 16
154,Tue Oct 13
234,Thu Nov 05
7,Sun Jul 05
2,Wed May 13
4,Fri Jul 24
36,Thu Aug 27
319,Tue Sep 22
9,Fri Aug 14
2,Mon Jun 29
332,Tue Nov 17
292,Tue Nov 10
7,Mon Jun 22
339,Tue Sep 29
162,Sun Oct 18
14,Mon May 18
3,Tue Jun 23
360,Fri Sep 25
97,Sun Oct 11
222,Mon Nov 02
42,Thu Sep 10
5,Mon May 11
457,Thu Sep 17
201,Tue Oct 27
29,Sat Aug 15
7,Fri Jun 05
5,Thu Jun 18
2,Wed May 06
3,null
254,Thu Oct 08
227,Tue Nov 03
3,Mon Jul 20
270,Sat Nov 07
50,Fri Aug 28
256,Thu Nov 19
108,Sun Sep 20
170,Sat Oct 10
145,Sun Sep 27
372,Wed Oct 14
330,Sun Oct 25
8,Sun Aug 16
288,Thu Nov 12
327,Fri Nov 06
217,Fri Oct 16
396,Fri Oct 30
325,Thu Oct 22
817,Thu Oct 29
6,Fri May 29
28,Tue Aug 25
200,Mon Oct 05
46,Tue Sep 01
1,Tue May 26
18,Thu Aug 20
