user_name,tweet_body,date,favorite_count,retweet_count,retweeted,source
LincolnChafee,RT @NicholsUprising: At Iowa State Fair @LincolnChafee correctly cites Downing Street Memo as proof Iraq war was unnecessary. Gonna LOVE Ch…,Sun Aug 16 04:41:00 +0000 2015,0,37,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,"RT @502TommyClark: Great to hear @LincolnChafee speak hydropower #DMRSoapbox Public education, good Jobs for America, great insights! http:…",Sun Aug 16 04:40:36 +0000 2015,0,5,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,RT @AmalieNash: And now @WilliamPetroski interviews @LincolnChafee after he finishes the #DMRSoapbox. On @DMRegister. #iacaucus http://t.co…,Sat Aug 15 16:55:15 +0000 2015,0,3,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,Thank you Iowa! @Iowastatefair #dmrsoapbox #chafee2016 http://t.co/g1nTLKDh1U,Sat Aug 15 16:40:01 +0000 2015,12,6,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
LincolnChafee,Live @DMRsoapbox @iowastatefair http://t.co/U1myhDBA8f,Sat Aug 15 16:34:22 +0000 2015,6,0,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
LincolnChafee,Hear more about my campaign for president live @iowastatefair #dmrsoapbox now @cspan http://t.co/drhGPyTZTy,Sat Aug 15 16:30:52 +0000 2015,5,3,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
LincolnChafee,RT @DMRegister: On deck at the #DMRSoapbox: @LincolnChafee at 11:30 a.m. http://t.co/1iIOdlnA85  #IAstatefair #ISF2015 #IAcaucus,Sat Aug 15 16:23:58 +0000 2015,0,2,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,Meeting media @MSNBC  and Iowans today @IowaStateFair! http://t.co/6qIL5NHCJa,Sat Aug 15 15:00:19 +0000 2015,11,5,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
LincolnChafee,RT @KellyO: .@LincolnChafee at our live shot position on his Democratic run for the nomination http://t.co/X3CigVHKIY,Sat Aug 15 13:29:31 +0000 2015,0,2,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,RT @IowaFarmBureau: Meet candidate @LincolnChafee at Farm Bureau Park today! Details &gt&gt&gt http://t.co/ZQaB2ADDcl #IowaStateFair #FarmersCauc…,Sat Aug 15 13:20:22 +0000 2015,0,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,It's a great day @IowaStateFair !! #chafee2016,Sat Aug 15 13:18:53 +0000 2015,4,2,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,"RT @_LeahKay_: While in Clear Lake, @LincolnChafee talks with voters #iacaucus http://t.co/1ZLJKodCDc",Sat Aug 15 02:13:41 +0000 2015,0,4,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,Thank you @IowaDemocrats for the warm reception @Iowawingding! http://t.co/2LqDXisZHa,Sat Aug 15 01:49:39 +0000 2015,11,2,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
LincolnChafee,"RT @ericbradner: Up soon at the #wingding in Clear Lake, Iowa: @HillaryClinton, @BernieSanders, @MartinOMalley and @LincolnChafee.",Sat Aug 15 00:02:03 +0000 2015,0,4,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
LincolnChafee,It's great to be meeting Iowans at @iowawingding! #chafee2016 http://t.co/MvHQK7fAQr,Fri Aug 14 23:46:12 +0000 2015,6,3,False,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"
GovChristie,Good luck to Jackson Twp Little League in the Mid-Atlantic Championship Game today against Red Land #jerseypride,Sun Aug 16 19:05:26 +0000 2015,94,54,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
GovChristie,RT @NewJerseyHeroes: The nominees for the next #NJHero are making a significant difference in our state! Check them out and vote here! http…,Fri Aug 14 21:12:08 +0000 2015,0,6,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,RT @NJOHSP: Christie Administration Announces $1.9 Million in Federal Homeland Security Grant Funding @GovChristie @DHSgov #NJ http://t.co/…,Tue Aug 11 14:18:19 +0000 2015,0,33,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
GovChristie,"RT @PABusTerminal: Due to the NJ Turnpike accident, NJ Transit Rail is cross honoring both NJT and Private Carrier Bus Tickets and Passes.",Tue Aug 04 20:18:18 +0000 2015,0,27,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,New Jersey celebrates Triple Crown Champion @amer_pharoah winning today’s #Haskell2015 @MonmouthPark. Congratulations!,Sun Aug 02 23:07:30 +0000 2015,104,46,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,RT @NewJerseyHeroes: TODAY IS THE LAST DAY! #HeartOfAHero applications are due no later than 5PM! NJ #veterans &amp #activeduty apply now! htt…,Fri Jul 31 18:18:08 +0000 2015,0,4,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,Today all State buildings are flying their flags at half-staff in honor of EMT Hinal Patel. Our sincere sympathy to her family &amp fellow EMTs,Fri Jul 31 16:07:17 +0000 2015,81,56,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,We announced a $4M statewide body camera initiative for NJ State Police and grants to help local police buy body cams,Tue Jul 28 18:32:45 +0000 2015,83,45,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,"Today w/ support from both law enforcement and community groups, we're strengthening community policing in NJ",Tue Jul 28 18:32:17 +0000 2015,30,17,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
GovChristie,"As I told @jaketapper, I've been an advocate of body cameras for law enforcement - for their safety &amp ppl they serve http://t.co/NoNdjPVDh8",Tue Jul 28 18:31:37 +0000 2015,35,18,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
gov_gilmore,RT @cFidd: #funfact: I have a thing in common with Jim Gilmore: We were both band geeks in high school. http://t.co/d2BakfhrpG,Fri Aug 14 22:01:32 +0000 2015,0,2,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
gov_gilmore,"RT @SenJohnMcCain: Why wasn't Umm Sayyaf, who WH called ""complicit"" in Kayla Mueller's #ISIL captivity - extradited to US for trial? http:/…",Fri Aug 14 20:30:58 +0000 2015,0,29,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>"
gov_gilmore,Wasn't me. Good idea though. #icecream  https://t.co/kfqQgkxJcI,Fri Aug 14 15:35:55 +0000 2015,4,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,"More town halls, more counties and more caucus captains. #iacaucus #99counties http://t.co/1jJ0qY6l8k",Sun Aug 16 21:28:44 +0000 2015,66,53,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,"After a long day at the @IowaStateFair, we took it easy and did just 2 more town halls. 2 more counties. #99counties http://t.co/MTLH63gKpH",Sun Aug 16 02:07:37 +0000 2015,70,47,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,Looking forward to joining my friend @RitaCosby tomorrow on WABC radio in New York.,Sat Aug 15 22:05:37 +0000 2015,25,30,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,http://t.co/8ywJ6y0QVR,Sat Aug 15 21:22:32 +0000 2015,34,41,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
RickSantorum,"RT @jeffzeleny: As @realDonaldTrump lands chopper, @RickSantorum meets Iowans one by one. There's a line to see this '12 Iowa winner. http:…",Sat Aug 15 21:22:25 +0000 2015,0,53,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,RT @cspan: WATCH: @RickSantorum at the @IowaStateFair #DMRSoapbox http://t.co/whvYnb7jBK http://t.co/sun5OdfrQc,Sat Aug 15 21:16:23 +0000 2015,0,58,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
RickSantorum,@IMakeAmerica Keep up the great work on helping make America the #1 country for manufacturing! #madeinamerica http://t.co/fvgQf3BOVx,Sat Aug 15 20:08:31 +0000 2015,12,21,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,Thank you @alexandraheuser for coming all the way from PA to support me at the @IowaStateFair http://t.co/1g3iiODxYG,Sat Aug 15 19:55:20 +0000 2015,58,44,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,RT @kasie: Rick Santorum still a known face in Iowa -- good crowd for the Soapbox http://t.co/fHe6Ki0PU0,Sat Aug 15 18:13:45 +0000 2015,0,54,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,RT @waltrogersforIA: @RickSantorum at #iowastatefair http://t.co/d0IdfxADGc,Sat Aug 15 18:13:41 +0000 2015,0,40,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,RT @mattbeynon: .@RickSantorum addressing a massive crowd at the @DMRegister soapbox at the #iowastatefair #iacaucus http://t.co/d95heWWpy3,Sat Aug 15 18:13:21 +0000 2015,0,47,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,"@ZekeJMiller I had a pork chop ready for @HillaryClinton I emailed her to come by, she must have deleted it. http://t.co/YZGDWM8aOZ",Sat Aug 15 18:08:11 +0000 2015,115,190,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,@IowaPorkFarmers thanks for letting me help serve lunch to the @IowaStateFair ...no worries no 5 sec. rule #iacaucus http://t.co/EknzWbcFE9,Sat Aug 15 17:44:03 +0000 2015,20,27,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,LIVE on #Periscope: Cooking some pork https://t.co/PhkRFxL1bE,Sat Aug 15 16:59:48 +0000 2015,21,19,False,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>"
RickSantorum,It's a great day to be at the IA State Fair! Enjoying the good food and company. What are your plans for the weekend? http://t.co/NhnCe7fgSJ,Sat Aug 15 16:48:46 +0000 2015,42,34,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
RickSantorum,Always fun speaking to a great crowd at the @DMRegister soapbox at the #iowastatefair! #iacaucus http://t.co/c5X2mxpHrV,Sat Aug 15 16:26:46 +0000 2015,45,49,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,Sign of things to come... #GameOn  https://t.co/HZwnELBWVN,Sat Aug 15 16:21:40 +0000 2015,22,26,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,LIVE on #Periscope: At the soapbox https://t.co/radVa0lP9I,Sat Aug 15 16:12:32 +0000 2015,11,18,False,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>"
RickSantorum,@ChuckGrassley says I might break his record for completing the #99counties before Labor Day! #iacaucus #fullgrassley http://t.co/fO9JoCPc5A,Fri Aug 14 23:52:06 +0000 2015,21,35,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,I'm excited to use the new @iowaculture app which highlights sites across the #99counties #iowaculture http://t.co/3NVP6Mhr55,Fri Aug 14 18:22:12 +0000 2015,30,36,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,Good morning from the @IowaStateFair http://t.co/VWrjpkzl2K,Fri Aug 14 14:34:01 +0000 2015,58,43,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,"Can always count on a great crowd and a warm welcome from Mt. Pleasant, Iowa! #iacaucus http://t.co/pf6395UvYm",Fri Aug 14 00:55:08 +0000 2015,53,54,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,LIVE on #Periscope: Why does my staff keep sending me to these places? #milkshakes #campaigndiet  https://t.co/wZcdRW7rP4,Thu Aug 13 21:14:44 +0000 2015,31,26,False,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>"
RickSantorum,Growth for America means bringing back manufacturing and a push for vocational training. #townhall #madeinamerica http://t.co/3v2m7bSZRg,Thu Aug 13 17:28:05 +0000 2015,57,62,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,"Great to be in Iowa. On to all 99 counties! Hope to see you at one of our campaign stops.
http://t.co/Ziu7x8Om7p http://t.co/YXYKpk1OSA",Thu Aug 13 15:04:59 +0000 2015,38,41,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
RickSantorum,"After a long day on the trail, it's time to mark off a few more counties. #latenighttweets #99counties http://t.co/oYQuxbVz7J",Thu Aug 13 05:36:03 +0000 2015,49,39,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RickSantorum,RT @IAStartingLine: Ended up being good crowd and press turnout for @RickSantorum. Number of customers came over to listen #IACaucus http:/…,Thu Aug 13 05:02:27 +0000 2015,0,37,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
