"","x"
"amp",2615
"will",2305
"today",1782
"great",1519
"new",1492
"president",1337
"gopdebate",1286
"people",1243
"trump",1219
"now",1174
"randpaul",1161
"iowa",1112
"need",1109
"can",1049
"watch",1049
"america",1036
"thank",1015
"realdonaldtrump",1014
"hillary",1007
"campaign",985
"tedcruz",978
"live",971
"get",959
"time",955
"tonight",952
"join",951
"just",901
"one",889
"support",854
"thanks",854
"fitn",830
"johnkasich",817
"foxnews",754
"plan",745
"make",740
"country",731
"tune",723
"iacaucus",719
"debate",695
"american",653
"https",651
"must",644
"hillaryclinton",639
"cruz",628
"like",628
"dont",627
"day",620
"berniesanders",614
"candidate",612
"hampshire",582
"back",562
"help",560
"marcorubio",558
"right",553
"want",545
"vote",541
"last",536
"demdebate",535
"realbencarson",530
"see",521
"team",521
"going",515
"first",504
"gop",499
"state",495
"take",482
"isis",477
"martinomalley",470
"good",468
"win",468
"via",460
"stand",455
"americans",451
"cruzcrew",449
"every",447
"next",447
"poll",447
"morning",445
"read",438
"says",434
"nhpolitics",427
"best",422
"fight",418
"security",414
"obama",405
"town",404
"ill",401
"cant",400
"keep",399
"night",398
"big",396
"leadership",388
"know",384
"crowd",382
"talk",377
"talking",375
"potus",374
"gov",372
"imwithhuck",370
"think",368
"hall",361
"cnn",360
"stop",359
"national",358
"ready",357
"standwithrand",357
"work",355
"way",354
"nation",352
"kasich",348
"lets",347
"tax",347
"forward",345
"presidential",340
"kasichus",339
"ted",339
"tomorrow",338
"say",337
"john",336
"political",335
"policy",334
"family",331
"looking",331
"caucus",330
"rally",330
"jimwebbusa",328
"hope",325
"lindseygrahamsc",325
"donald",319
"youre",318
"families",317
"interview",316
"proud",316
"government",315
"show",310
"south",309
"years",308
"clinton",307
"house",307
"change",305
"republican",305
"world",305
"together",304
"many",302
"conservative",300
"bernie",295
"care",294
"carolina",294
"real",288
"much",287
"look",284
"http",283
"come",282
"got",280
"httpst",279
"better",274
"states",273
"republicans",272
"year",271
"joining",269
"health",268
"rand",267
"needs",265
"happy",263
"voters",258
"check",257
"jebbush",255
"sure",254
"gun",253
"carly",252
"washington",252
"end",251
"lead",251
"rubio",251
"sanders",251
"hes",250
"graham",249
"war",247
"govmikehuckabee",245
"hear",244
"love",244
"carson",243
"event",242
"jeb",242
"said",241
"life",240
"believe",238
"governor",238
"made",238
"speaking",238
"coming",237
"paul",237
"agree",236
"heres",235
"listen",235
"httpstco",234
"days",233
"economy",232
"governorpataki",232
"still",231
"working",231
"another",230
"everyone",229
"party",229
"teammarco",229
"full",228
"thats",228
"video",228
"never",227
"well",227
"women",227
"doesnt",226
"news",226
"record",225
"done",224
"message",224
"foreign",221
"meet",221
"rights",220
"immigration",219
"put",218
"candidates",217
"christmas",217
"week",217
"leader",215
"job",214
"money",214
"defeat",213
"reform",213
"excited",212
"getting",211
"senator",211
"iran",210
